Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
34,17.0,2,1524.62,718.15,0.0,0,,,,
35,17.5,0,1458.79,985.86,0.0,0,,,,
35,17.5,1,1488.73,846.56,0.0,0,,,,
35,17.5,2,1524.62,718.15,0.0,0,,,,
36,18.0,0,1458.79,985.86,0.0,0,,,,
36,18.0,1,1488.73,846.56,0.0,0,,,,
36,18.0,2,1524.62,718.15,0.0,0,,,,
37,18.5,0,1458.79,985.86,0.0,0,,,,
37,18.5,1,1488.73,846.56,0.0,0,,,,
37,18.5,2,1524.62,718.15,0.0,0,,,,
38,19.0,0,1458.79,985.86,0.0,0,,,,
38,19.0,1,1488.73,846.56,0.0,0,,,,
38,19.0,2,1524.62,718.15,0.0,0,,,,
39,19.5,0,1458.79,985.86,0.0,0,,,,
39,19.5,1,1488.73,846.56,0.0,0,,,,
39,19.5,2,1524.62,718.15,0.0,0,,,,
40,20.0,0,1458.79,985.86,0.0,0,,,,
40,20.0,1,1488.73,846.56,0.0,0,,,,
40,20.0,2,1524.62,718.15,0.0,0,,,,
41,20.5,0,1458.79,985.86,0.0,0,,,,
41,20.5,1,1488.73,846.56,0.0,0,,,,
41,20.5,2,1524.62,718.15,0.0,0,,,,
42,21.0,0,1458.79,985.86,0.0,0,,,,
42,21.0,1,1488.73,846.56,0.0,0,,,,
42,21.0,2,1524.62,718.15,0.0,0,,,,
43,21.5,0,1458.79,985.86,0.0,0,,,,
43,21.5,1,1488.73,846.56,0.0,0,,,,
43,21.5,2,1524.62,718.15,0.0,0,,,,
44,22.0,0,1458.79,985.86,0.0,0,,,,
44,22.0,1,1488.73,846.56,0.0,0,,,,
44,22.0,2,1524.62,718.15,0.0,0,,,,
45,22.5,0,1458.79,985.86,0.0,0,,,,
45,22.5,1,1488.73,846.56,0.0,0,,,,
45,22.5,2,1524.62,718.15,0.0,0,,,,
46,23.0,0,1458.79,985.86,0.0,0,,,,
46,23.0,1,1488.73,846.56,0.0,0,,,,
46,23.0,2,1524.62,718.15,0.0,0,,,,
47,23.5,0,1458.79,985.86,0.0,0,,,,
47,23.5,1,1488.73,846.56,0.0,0,,,,
47,23.5,2,1524.62,718.15,0.0,0,,,,
48,24.0,0,1458.79,985.86,0.0,0,,,,
48,24.0,1,1488.73,846.56,0.0,0,,,,
48,24.0,2,1524.62,718.15,0.0,0,,,,
49,24.5,0,1458.79,985.86,0.0,0,,,,
49,24.5,1,1488.73,846.56,0.0,0,,,,
49,24.5,2,1524.62,718.15,0.0,0,,,,
50,25.0,0,1458.79,985.86,0.0,0,,,,
50,25.0,1,1488.73,846.56,0.0,0,,,,
50,25.0,2,1524.62,718.15,0.0,0,,,,
51,25.5,0,1458.79,985.86,0.0,0,,,,
51,25.5,1,1488.73,846.56,0.0,0,,,,
51,25.5,2,1524.62,718.15,0.0,0,,,,
52,26.0,0,1458.79,985.86,0.0,0,,,,
52,26.0,1,1488.73,846.56,0.0,0,,,,
52,26.0,2,1524.62,718.15,0.0,0,,,,
53,26.5,0,1458.79,985.86,0.0,0,,,,
53,26.5,1,1488.73,846.56,0.0,0,,,,
53,26.5,2,1524.62,718.15,0.0,0,,,,
54,27.0,0,1458.79,985.86,0.0,0,,,,
54,27.0,1,1488.73,846.56,0.0,0,,,,
54,27.0,2,1524.62,718.15,0.0,0,,,,
55,27.5,0,1458.79,985.86,0.0,0,,,,
55,27.5,1,1488.73,846.56,0.0,0,,,,
55,27.5,2,1524.62,718.15,0.0,0,,,,
56,28.0,0,1458.79,985.86,0.0,0,,,,
56,28.0,1,1488.73,846.56,0.0,0,,,,
56,28.0,2,1524.62,718.15,0.0,0,,,,
57,28.5,0,1458.79,985.86,0.0,0,,,,
57,28.5,1,1488.73,846.56,0.0,0,,,,
57,28.5,2,1524.62,718.15,0.0,0,,,,
58,29.0,0,1458.79,985.86,0.0,0,,,,
58,29.0,1,1488.73,846.56,0.0,0,,,,
58,29.0,2,1524.62,718.15,0.0,0,,,,
59,29.5,0,1458.79,985.86,0.0,0,,,,
59,29.5,1,1488.73,846.56,0.0,0,,,,
59,29.5,2,1524.62,718.15,0.0,0,,,,
60,30.0,0,1458.79,985.86,0.0,0,,,,
60,30.0,1,1488.73,846.56,0.0,0,,,,
60,30.0,2,1524.62,718.15,0.0,0,,,,
61,30.5,0,1458.79,985.86,0.0,0,,,,
61,30.5,1,1488.73,846.56,0.0,0,,,,
61,30.5,2,1524.62,718.15,0.0,0,,,,
62,31.0,0,1458.79,985.86,0.0,0,,,,
62,31.0,1,1488.73,846.56,0.0,0,,,,
62,31.0,2,1524.62,718.15,0.0,0,,,,
63,31.5,0,1458.79,985.86,0.0,0,,,,
